Exporting Country,Year,Exports in Millions,Importing Country
Poland,1998,,Iran
Russia,1998,256,Iran
Soviet Union,1998,,Iran
Ukraine,1998,52,Iran
Belarus,1999,,Iran
Brazil,1999,,Iran
Canada,1999,,Iran
China,1999,64,Iran
East Germany (GDR),1999,,Iran
France,1999,,Iran
Netherlands,1999,,Iran
North Korea,1999,,Iran
Pakistan,1999,,Iran
Poland,1999,,Iran
Russia,1999,258,Iran
Soviet Union,1999,,Iran
Ukraine,1999,,Iran
Belarus,2000,8,Iran
Brazil,2000,,Iran
Canada,2000,,Iran
China,2000,69,Iran
East Germany (GDR),2000,,Iran
France,2000,,Iran
Netherlands,2000,,Iran
North Korea,2000,,Iran
Pakistan,2000,,Iran
Poland,2000,,Iran
Russia,2000,341,Iran
Soviet Union,2000,,Iran
Ukraine,2000,,Iran
Belarus,2001,15,Iran
Brazil,2001,,Iran
Canada,2001,,Iran
China,2001,80,Iran
East Germany (GDR),2001,,Iran
France,2001,,Iran
Netherlands,2001,,Iran
North Korea,2001,,Iran
Pakistan,2001,,Iran
Poland,2001,,Iran
Russia,2001,298,Iran
Soviet Union,2001,,Iran
Ukraine,2001,132,Iran
Belarus,2002,16,Iran
Brazil,2002,,Iran
Canada,2002,,Iran
China,2002,81,Iran
East Germany (GDR),2002,,Iran
France,2002,,Iran
Netherlands,2002,,Iran
North Korea,2002,116,Iran
Pakistan,2002,0,Iran
Poland,2002,,Iran
Russia,2002,92,Iran
Soviet Union,2002,,Iran
Ukraine,2002,130,Iran
Belarus,2003,,Iran
Brazil,2003,,Iran
Canada,2003,,Iran
China,2003,84,Iran
East Germany (GDR),2003,,Iran
France,2003,,Iran
Netherlands,2003,,Iran
North Korea,2003,114,Iran
Pakistan,2003,,Iran
Poland,2003,,Iran
Russia,2003,85,Iran
Soviet Union,2003,,Iran
Ukraine,2003,,Iran
Belarus,2004,,Iran
Brazil,2004,,Iran
Canada,2004,,Iran
China,2004,80,Iran
East Germany (GDR),2004,,Iran
France,2004,,Iran
Netherlands,2004,,Iran
North Korea,2004,27,Iran
Pakistan,2004,,Iran
Poland,2004,,Iran
Russia,2004,15,Iran
Soviet Union,2004,,Iran
Ukraine,2004,,Iran
Belarus,2005,,Iran
Brazil,2005,,Iran
Canada,2005,,Iran
China,2005,43,Iran
East Germany (GDR),2005,,Iran
France,2005,,Iran
Netherlands,2005,,Iran
North Korea,2005,,Iran
Pakistan,2005,,Iran
Poland,2005,,Iran
Russia,2005,15,Iran
Soviet Union,2005,,Iran
Ukraine,2005,,Iran
Belarus,2006,,Iran
Brazil,2006,,Iran
Canada,2006,,Iran
China,2006,54,Iran
East Germany (GDR),2006,,Iran
France,2006,,Iran
Netherlands,2006,,Iran
North Korea,2006,,Iran
Pakistan,2006,,Iran
Poland,2006,,Iran
Russia,2006,368,Iran
Soviet Union,2006,,Iran
Ukraine,2006,,Iran
Belarus,2007,,Iran
Brazil,2007,,Iran
Canada,2007,,Iran
China,2007,47,Iran
East Germany (GDR),2007,,Iran
France,2007,,Iran
Netherlands,2007,,Iran
North Korea,2007,,Iran
Pakistan,2007,,Iran
Poland,2007,,Iran
Russia,2007,283,Iran
Soviet Union,2007,,Iran
Ukraine,2007,,Iran
Belarus,2008,,Iran
Brazil,2008,,Iran
Canada,2008,,Iran
China,2008,47,Iran
East Germany (GDR),2008,,Iran
France,2008,,Iran
Netherlands,2008,,Iran
North Korea,2008,,Iran
Pakistan,2008,,Iran
Poland,2008,,Iran
Russia,2008,15,Iran
Soviet Union,2008,,Iran
Ukraine,2008,,Iran
Belarus,2009,,Iran
Brazil,2009,,Iran
Canada,2009,,Iran
China,2009,47,Iran
East Germany (GDR),2009,,Iran
France,2009,,Iran
Netherlands,2009,,Iran
North Korea,2009,,Iran
Pakistan,2009,,Iran
Poland,2009,,Iran
Russia,2009,15,Iran
Soviet Union,2009,,Iran
Ukraine,2009,,Iran
Belarus,2010,,Iran
Brazil,2010,,Iran
Canada,2010,,Iran
China,2010,62,Iran
East Germany (GDR),2010,,Iran
France,2010,,Iran
Netherlands,2010,,Iran
North Korea,2010,,Iran
Pakistan,2010,,Iran
Poland,2010,,Iran
Russia,2010,41,Iran
Soviet Union,2010,,Iran
Ukraine,2010,,Iran
Belarus,2011,15,Iran
Brazil,2011,,Iran
Canada,2011,,Iran
China,2011,52,Iran
East Germany (GDR),2011,,Iran
France,2011,,Iran
Netherlands,2011,,Iran
North Korea,2011,,Iran
Pakistan,2011,,Iran
Poland,2011,,Iran
Russia,2011,33,Iran
Soviet Union,2011,,Iran
Ukraine,2011,,Iran
Belarus,2012,,Iran
Brazil,2012,,Iran
Canada,2012,,Iran
China,2012,31,Iran
East Germany (GDR),2012,,Iran
France,2012,,Iran
Netherlands,2012,,Iran
North Korea,2012,,Iran
Pakistan,2012,,Iran
Poland,2012,,Iran
Russia,2012,15,Iran
Soviet Union,2012,,Iran
Ukraine,2012,,Iran
Belarus,2013,,Iran
Brazil,2013,,Iran
Canada,2013,,Iran
China,2013,9,Iran
East Germany (GDR),2013,,Iran
France,2013,,Iran
Netherlands,2013,,Iran
North Korea,2013,,Iran
Pakistan,2013,,Iran
Poland,2013,,Iran
Russia,2013,22,Iran
Soviet Union,2013,,Iran
Ukraine,2013,,Iran
Belarus,2014,,Iran
Brazil,2014,,Iran
Canada,2014,,Iran
China,2014,9,Iran
East Germany (GDR),2014,,Iran
France,2014,,Iran
Netherlands,2014,,Iran
North Korea,2014,,Iran
Pakistan,2014,,Iran
Poland,2014,,Iran
Russia,2014,4,Iran
Soviet Union,2014,,Iran
Ukraine,2014,,Iran
Belarus,2015,,Iran
Brazil,2015,,Iran
Canada,2015,,Iran
China,2015,9,Iran
East Germany (GDR),2015,,Iran
France,2015,,Iran
Netherlands,2015,,Iran
North Korea,2015,,Iran
Pakistan,2015,,Iran
Poland,2015,,Iran
Russia,2015,4,Iran
Soviet Union,2015,,Iran
Ukraine,2015,,Iran
Belarus,2016,,Iran
Brazil,2016,,Iran
Canada,2016,,Iran
China,2016,,Iran
East Germany (GDR),2016,,Iran
France,2016,,Iran
Netherlands,2016,,Iran
North Korea,2016,,Iran
Pakistan,2016,,Iran
Poland,2016,,Iran
Russia,2016,374,Iran
Soviet Union,2016,,Iran
Ukraine,2016,,Iran
Australia,1988,,Iraq
Belarus,1988,,Iraq
Brazil,1988,76,Iraq
Bulgaria,1988,,Iraq
Canada,1988,23,Iraq
China,1988,192,Iraq
Czech Republic,1988,,Iraq
Egypt,1988,59,Iraq
Estonia,1988,,Iraq
France,1988,233,Iraq
Germany (FRG),1988,30,Iraq
Greece,1988,,Iraq
Hungary,1988,,Iraq
Iran,1988,,Iraq
Italy,1988,,Iraq
Jordan,1988,,Iraq
Pakistan,1988,,Iraq
Poland,1988,,Iraq
Russia,1988,,Iraq
Serbia,1988,,Iraq
South Africa,1988,50,Iraq
South Korea,1988,,Iraq
Soviet Union,1988,1103,Iraq
Spain,1988,,Iraq
Switzerland,1988,11,Iraq
Turkey,1988,,Iraq
UAE,1988,,Iraq
Ukraine,1988,,Iraq
United Kingdom,1988,7,Iraq
United States,1988,125,Iraq
Unknown supplier(s),1988,,Iraq
Yugoslavia,1988,2,Iraq
Australia,1989,,Iraq
Belarus,1989,,Iraq
Brazil,1989,,Iraq
Bulgaria,1989,,Iraq
Canada,1989,5,Iraq
China,1989,23,Iraq
Czech Republic,1989,,Iraq
Egypt,1989,48,Iraq
Estonia,1989,,Iraq
France,1989,69,Iraq
Germany (FRG),1989,23,Iraq
Greece,1989,,Iraq
Hungary,1989,,Iraq
Iran,1989,,Iraq
Italy,1989,,Iraq
Jordan,1989,,Iraq
Pakistan,1989,,Iraq
Poland,1989,,Iraq
Russia,1989,,Iraq
Serbia,1989,,Iraq
South Africa,1989,,Iraq
South Korea,1989,,Iraq
Soviet Union,1989,1293,Iraq
Spain,1989,3,Iraq
Switzerland,1989,2,Iraq
Turkey,1989,,Iraq
UAE,1989,,Iraq
Ukraine,1989,,Iraq
United Kingdom,1989,,Iraq
United States,1989,,Iraq
Unknown supplier(s),1989,,Iraq
Yugoslavia,1989,18,Iraq
Australia,1990,,Iraq
Belarus,1990,,Iraq
Brazil,1990,,Iraq
Bulgaria,1990,,Iraq
Canada,1990,2,Iraq
China,1990,,Iraq
Czech Republic,1990,,Iraq
Egypt,1990,,Iraq
Estonia,1990,,Iraq
France,1990,192,Iraq
Germany (FRG),1990,17,Iraq
Greece,1990,,Iraq
Hungary,1990,,Iraq
Iran,1990,,Iraq
Italy,1990,,Iraq
Jordan,1990,,Iraq
Pakistan,1990,,Iraq
Poland,1990,,Iraq
Russia,1990,,Iraq
Serbia,1990,,Iraq
South Africa,1990,,Iraq
South Korea,1990,,Iraq
Soviet Union,1990,555,Iraq
Spain,1990,,Iraq
Switzerland,1990,4,Iraq
Turkey,1990,,Iraq
UAE,1990,,Iraq
Ukraine,1990,,Iraq
United Kingdom,1990,,Iraq
United States,1990,,Iraq
Unknown supplier(s),1990,,Iraq
Yugoslavia,1990,9,Iraq
Australia,1991,,Iraq
Belarus,1991,,Iraq
Brazil,1991,,Iraq
Bulgaria,1991,,Iraq
Canada,1991,,Iraq
China,1991,,Iraq
Czech Republic,1991,,Iraq
Egypt,1991,,Iraq
Estonia,1991,,Iraq
France,1991,,Iraq
Germany (FRG),1991,,Iraq
Greece,1991,,Iraq
Hungary,1991,,Iraq
Iran,1991,,Iraq
Italy,1991,,Iraq
Jordan,1991,,Iraq
Pakistan,1991,,Iraq
Poland,1991,,Iraq
Russia,1991,,Iraq
Serbia,1991,,Iraq
South Africa,1991,,Iraq
South Korea,1991,,Iraq
Soviet Union,1991,,Iraq
Spain,1991,,Iraq
Switzerland,1991,,Iraq
Turkey,1991,,Iraq
UAE,1991,,Iraq
Ukraine,1991,,Iraq
United Kingdom,1991,,Iraq
United States,1991,,Iraq
Unknown supplier(s),1991,,Iraq
Yugoslavia,1991,,Iraq
Australia,1992,,Iraq
Belarus,1992,,Iraq
Brazil,1992,,Iraq
Bulgaria,1992,,Iraq
Canada,1992,,Iraq
China,1992,,Iraq
Czech Republic,1992,,Iraq
Egypt,1992,,Iraq
Estonia,1992,,Iraq
France,1992,,Iraq
Germany (FRG),1992,,Iraq
Greece,1992,,Iraq
Hungary,1992,,Iraq
Iran,1992,,Iraq
Italy,1992,,Iraq
Jordan,1992,,Iraq
Pakistan,1992,,Iraq
Poland,1992,,Iraq
Russia,1992,,Iraq
Serbia,1992,,Iraq
South Africa,1992,,Iraq
South Korea,1992,,Iraq
Soviet Union,1992,,Iraq
Spain,1992,,Iraq
Switzerland,1992,,Iraq
Turkey,1992,,Iraq
UAE,1992,,Iraq
Ukraine,1992,,Iraq
United Kingdom,1992,,Iraq
United States,1992,,Iraq
Unknown supplier(s),1992,,Iraq
Yugoslavia,1992,,Iraq
Australia,1993,,Iraq
Belarus,1993,,Iraq
Brazil,1993,,Iraq
Bulgaria,1993,,Iraq
Canada,1993,,Iraq
China,1993,,Iraq
Czech Republic,1993,,Iraq
Egypt,1993,,Iraq
Estonia,1993,,Iraq
France,1993,,Iraq
Germany (FRG),1993,,Iraq
Greece,1993,,Iraq
Hungary,1993,,Iraq
Iran,1993,,Iraq
Italy,1993,,Iraq
Jordan,1993,,Iraq
Pakistan,1993,,Iraq
Poland,1993,,Iraq
Russia,1993,,Iraq
Serbia,1993,,Iraq
South Africa,1993,,Iraq
South Korea,1993,,Iraq
Soviet Union,1993,,Iraq
Spain,1993,,Iraq
Switzerland,1993,,Iraq
Turkey,1993,,Iraq
UAE,1993,,Iraq
Ukraine,1993,,Iraq
United Kingdom,1993,,Iraq
United States,1993,,Iraq
Unknown supplier(s),1993,,Iraq
Yugoslavia,1993,,Iraq
Australia,1994,,Iraq
Belarus,1994,,Iraq
Brazil,1994,,Iraq
Bulgaria,1994,,Iraq
Canada,1994,,Iraq
China,1994,,Iraq
Czech Republic,1994,,Iraq
Egypt,1994,,Iraq
Estonia,1994,,Iraq
France,1994,,Iraq
Germany (FRG),1994,,Iraq
Greece,1994,,Iraq
Hungary,1994,,Iraq
Iran,1994,,Iraq
Italy,1994,,Iraq
Jordan,1994,,Iraq
Pakistan,1994,,Iraq
Poland,1994,,Iraq
Russia,1994,,Iraq
Serbia,1994,,Iraq
South Africa,1994,,Iraq
South Korea,1994,,Iraq
Soviet Union,1994,,Iraq
Spain,1994,,Iraq
Switzerland,1994,,Iraq
Turkey,1994,,Iraq
UAE,1994,,Iraq
Ukraine,1994,,Iraq
United Kingdom,1994,,Iraq
United States,1994,,Iraq
Unknown supplier(s),1994,,Iraq
Yugoslavia,1994,,Iraq
Australia,1995,,Iraq
Belarus,1995,,Iraq
Brazil,1995,,Iraq
Bulgaria,1995,,Iraq
Canada,1995,,Iraq
China,1995,,Iraq
Czech Republic,1995,,Iraq
Egypt,1995,,Iraq
Estonia,1995,,Iraq
France,1995,,Iraq
Germany (FRG),1995,,Iraq
Greece,1995,,Iraq
Hungary,1995,,Iraq
Iran,1995,,Iraq
Italy,1995,,Iraq
Jordan,1995,,Iraq
Pakistan,1995,,Iraq
Poland,1995,,Iraq
Russia,1995,,Iraq
Serbia,1995,,Iraq
South Africa,1995,,Iraq
South Korea,1995,,Iraq
Soviet Union,1995,,Iraq
Spain,1995,,Iraq
Switzerland,1995,,Iraq
Turkey,1995,,Iraq
UAE,1995,,Iraq
Ukraine,1995,,Iraq
United Kingdom,1995,,Iraq
United States,1995,,Iraq
Unknown supplier(s),1995,,Iraq
Yugoslavia,1995,,Iraq
Australia,1996,,Iraq
Belarus,1996,,Iraq
Brazil,1996,,Iraq
Bulgaria,1996,,Iraq
Canada,1996,,Iraq
China,1996,,Iraq
Czech Republic,1996,,Iraq
Egypt,1996,,Iraq
Estonia,1996,,Iraq
France,1996,,Iraq
Germany (FRG),1996,,Iraq
Greece,1996,,Iraq
Hungary,1996,,Iraq
Iran,1996,,Iraq
Italy,1996,,Iraq
Jordan,1996,,Iraq
Pakistan,1996,,Iraq
Poland,1996,,Iraq
Russia,1996,,Iraq
Serbia,1996,,Iraq
South Africa,1996,,Iraq
South Korea,1996,,Iraq
Soviet Union,1996,,Iraq
Spain,1996,,Iraq
Switzerland,1996,,Iraq
Turkey,1996,,Iraq
UAE,1996,,Iraq
Ukraine,1996,,Iraq
United Kingdom,1996,,Iraq
United States,1996,,Iraq
Unknown supplier(s),1996,,Iraq
Yugoslavia,1996,,Iraq
Australia,1997,,Iraq
Belarus,1997,,Iraq
Brazil,1997,,Iraq
Bulgaria,1997,,Iraq
Canada,1997,,Iraq
China,1997,,Iraq
Czech Republic,1997,,Iraq
Egypt,1997,,Iraq
Estonia,1997,,Iraq
France,1997,,Iraq
Germany (FRG),1997,,Iraq
Greece,1997,,Iraq
Hungary,1997,,Iraq
Iran,1997,,Iraq
Italy,1997,,Iraq
Jordan,1997,,Iraq
Pakistan,1997,,Iraq
Poland,1997,,Iraq
Russia,1997,,Iraq
Serbia,1997,,Iraq
South Africa,1997,,Iraq
South Korea,1997,,Iraq
Soviet Union,1997,,Iraq
Spain,1997,,Iraq
Switzerland,1997,,Iraq
Turkey,1997,,Iraq
UAE,1997,,Iraq
Ukraine,1997,,Iraq
United Kingdom,1997,,Iraq
United States,1997,,Iraq
Unknown supplier(s),1997,,Iraq
Yugoslavia,1997,,Iraq
Australia,1998,,Iraq
Belarus,1998,,Iraq
Brazil,1998,,Iraq
Bulgaria,1998,,Iraq
Canada,1998,,Iraq
China,1998,,Iraq
Czech Republic,1998,,Iraq
Egypt,1998,,Iraq
Estonia,1998,,Iraq
France,1998,,Iraq
Germany (FRG),1998,,Iraq
Greece,1998,,Iraq
Hungary,1998,,Iraq
Iran,1998,,Iraq
Italy,1998,,Iraq
Jordan,1998,,Iraq
Pakistan,1998,,Iraq
Poland,1998,,Iraq
Russia,1998,,Iraq
Serbia,1998,,Iraq
South Africa,1998,,Iraq
South Korea,1998,,Iraq
Soviet Union,1998,,Iraq
Spain,1998,,Iraq
Switzerland,1998,,Iraq
Turkey,1998,,Iraq
UAE,1998,,Iraq
Ukraine,1998,,Iraq
United Kingdom,1998,,Iraq
United States,1998,,Iraq
Unknown supplier(s),1998,,Iraq
Yugoslavia,1998,,Iraq
Australia,1999,,Iraq
Belarus,1999,,Iraq
Brazil,1999,,Iraq
Bulgaria,1999,,Iraq
Canada,1999,,Iraq
China,1999,,Iraq
Czech Republic,1999,,Iraq
Egypt,1999,,Iraq
Estonia,1999,,Iraq
France,1999,,Iraq
Germany (FRG),1999,,Iraq
Greece,1999,,Iraq
Hungary,1999,,Iraq
Iran,1999,,Iraq
Italy,1999,,Iraq
Jordan,1999,,Iraq
Pakistan,1999,,Iraq
Poland,1999,,Iraq
Russia,1999,,Iraq
Serbia,1999,,Iraq
South Africa,1999,,Iraq
South Korea,1999,,Iraq
Soviet Union,1999,,Iraq
Spain,1999,,Iraq
Switzerland,1999,,Iraq
Turkey,1999,,Iraq
UAE,1999,,Iraq
Ukraine,1999,,Iraq
United Kingdom,1999,,Iraq
United States,1999,,Iraq
Unknown supplier(s),1999,,Iraq
Yugoslavia,1999,,Iraq
Australia,2000,,Iraq
Belarus,2000,,Iraq
Brazil,2000,,Iraq
Bulgaria,2000,,Iraq
Canada,2000,,Iraq
China,2000,,Iraq
Czech Republic,2000,,Iraq
Egypt,2000,,Iraq
Estonia,2000,,Iraq
France,2000,,Iraq
Germany (FRG),2000,,Iraq
Greece,2000,,Iraq
Hungary,2000,,Iraq
Iran,2000,,Iraq
Italy,2000,,Iraq
Jordan,2000,,Iraq
Pakistan,2000,,Iraq
Poland,2000,,Iraq
Russia,2000,,Iraq
Serbia,2000,,Iraq
South Africa,2000,,Iraq
South Korea,2000,,Iraq
Soviet Union,2000,,Iraq
Spain,2000,,Iraq
Switzerland,2000,,Iraq
Turkey,2000,,Iraq
UAE,2000,,Iraq
Ukraine,2000,,Iraq
United Kingdom,2000,,Iraq
United States,2000,,Iraq
Unknown supplier(s),2000,,Iraq
Yugoslavia,2000,,Iraq
Australia,2001,,Iraq
Belarus,2001,,Iraq
Brazil,2001,,Iraq
Bulgaria,2001,,Iraq
Canada,2001,,Iraq
China,2001,,Iraq
Czech Republic,2001,,Iraq
Egypt,2001,,Iraq
Estonia,2001,,Iraq
France,2001,,Iraq
Germany (FRG),2001,,Iraq
Greece,2001,,Iraq
Hungary,2001,,Iraq
Iran,2001,,Iraq
Italy,2001,,Iraq
Jordan,2001,,Iraq
Pakistan,2001,,Iraq
Poland,2001,,Iraq
Russia,2001,,Iraq
Serbia,2001,,Iraq
South Africa,2001,,Iraq
South Korea,2001,,Iraq
Soviet Union,2001,,Iraq
Spain,2001,,Iraq
Switzerland,2001,,Iraq
Turkey,2001,,Iraq
UAE,2001,,Iraq
Ukraine,2001,,Iraq
United Kingdom,2001,,Iraq
United States,2001,,Iraq
Unknown supplier(s),2001,,Iraq
Yugoslavia,2001,,Iraq
Australia,2002,,Iraq
Belarus,2002,,Iraq
Brazil,2002,,Iraq
Bulgaria,2002,,Iraq
Canada,2002,,Iraq
China,2002,,Iraq
Czech Republic,2002,,Iraq
Egypt,2002,,Iraq
Estonia,2002,,Iraq
France,2002,,Iraq
Germany (FRG),2002,,Iraq
Greece,2002,,Iraq
Hungary,2002,,Iraq
Iran,2002,,Iraq
Italy,2002,,Iraq
Jordan,2002,,Iraq
Pakistan,2002,,Iraq
Poland,2002,,Iraq
Russia,2002,,Iraq
Serbia,2002,,Iraq
South Africa,2002,,Iraq
South Korea,2002,,Iraq
Soviet Union,2002,,Iraq
Spain,2002,,Iraq
Switzerland,2002,,Iraq
Turkey,2002,,Iraq
UAE,2002,,Iraq
Ukraine,2002,,Iraq
United Kingdom,2002,,Iraq
United States,2002,,Iraq
Unknown supplier(s),2002,,Iraq
Yugoslavia,2002,,Iraq
Australia,2003,,Iraq
Belarus,2003,,Iraq
Brazil,2003,,Iraq
Bulgaria,2003,,Iraq
Canada,2003,,Iraq
China,2003,,Iraq
Czech Republic,2003,,Iraq
Egypt,2003,,Iraq
Estonia,2003,,Iraq
France,2003,,Iraq
Germany (FRG),2003,,Iraq
Greece,2003,,Iraq
Hungary,2003,,Iraq
Iran,2003,,Iraq
Italy,2003,,Iraq
Jordan,2003,,Iraq
Pakistan,2003,,Iraq
Poland,2003,,Iraq
Russia,2003,,Iraq
Serbia,2003,,Iraq
South Africa,2003,,Iraq
South Korea,2003,,Iraq
Soviet Union,2003,,Iraq
Spain,2003,,Iraq
Switzerland,2003,,Iraq
Turkey,2003,,Iraq
UAE,2003,,Iraq
Ukraine,2003,,Iraq
United Kingdom,2003,,Iraq
United States,2003,,Iraq
Unknown supplier(s),2003,,Iraq
Yugoslavia,2003,,Iraq
Australia,2004,0,Iraq
Belarus,2004,,Iraq
Brazil,2004,,Iraq
Bulgaria,2004,,Iraq
Canada,2004,,Iraq
China,2004,20,Iraq
Czech Republic,2004,,Iraq
Egypt,2004,,Iraq
Estonia,2004,,Iraq
France,2004,,Iraq
Germany (FRG),2004,,Iraq
Greece,2004,,Iraq
Hungary,2004,,Iraq
Iran,2004,,Iraq
Italy,2004,,Iraq
Jordan,2004,42,Iraq
Pakistan,2004,,Iraq
Poland,2004,,Iraq
Russia,2004,,Iraq
Serbia,2004,,Iraq
South Africa,2004,,Iraq
South Korea,2004,,Iraq
Soviet Union,2004,,Iraq
Spain,2004,,Iraq
Switzerland,2004,,Iraq
Turkey,2004,,Iraq
UAE,2004,3,Iraq
Ukraine,2004,,Iraq
United Kingdom,2004,,Iraq
United States,2004,6,Iraq
Unknown supplier(s),2004,,Iraq
Yugoslavia,2004,,Iraq
Australia,2005,,Iraq
Belarus,2005,,Iraq
Brazil,2005,,Iraq
Bulgaria,2005,,Iraq
Canada,2005,0,Iraq
China,2005,,Iraq
Czech Republic,2005,,Iraq
Egypt,2005,,Iraq
Estonia,2005,,Iraq
France,2005,,Iraq
Germany (FRG),2005,,Iraq
Greece,2005,13,Iraq
Hungary,2005,82,Iraq
Iran,2005,,Iraq
Italy,2005,,Iraq
Jordan,2005,20,Iraq
Pakistan,2005,13,Iraq
Poland,2005,3,Iraq
Russia,2005,,Iraq
Serbia,2005,,Iraq
South Africa,2005,,Iraq
South Korea,2005,2,Iraq
Soviet Union,2005,,Iraq
Spain,2005,,Iraq
Switzerland,2005,,Iraq
Turkey,2005,3,Iraq
UAE,2005,2,Iraq
Ukraine,2005,,Iraq
United Kingdom,2005,5,Iraq
United States,2005,43,Iraq
Unknown supplier(s),2005,,Iraq
Yugoslavia,2005,,Iraq
Australia,2006,,Iraq
Belarus,2006,,Iraq
Brazil,2006,,Iraq
Bulgaria,2006,,Iraq
Canada,2006,0,Iraq
China,2006,,Iraq
Czech Republic,2006,,Iraq
Egypt,2006,,Iraq
Estonia,2006,,Iraq
France,2006,,Iraq
Germany (FRG),2006,,Iraq
Greece,2006,23,Iraq
Hungary,2006,,Iraq
Iran,2006,,Iraq
Italy,2006,,Iraq
Jordan,2006,,Iraq
Pakistan,2006,4,Iraq
Poland,2006,63,Iraq
Russia,2006,68,Iraq
Serbia,2006,,Iraq
South Africa,2006,13,Iraq
South Korea,2006,,Iraq
Soviet Union,2006,,Iraq
Spain,2006,,Iraq
Switzerland,2006,,Iraq
Turkey,2006,66,Iraq
UAE,2006,,Iraq
Ukraine,2006,20,Iraq
United Kingdom,2006,,Iraq
United States,2006,55,Iraq
Unknown supplier(s),2006,,Iraq
Yugoslavia,2006,,Iraq
Australia,2007,,Iraq
Belarus,2007,,Iraq
Brazil,2007,,Iraq
Bulgaria,2007,,Iraq
Canada,2007,1,Iraq
China,2007,,Iraq
Czech Republic,2007,,Iraq
Egypt,2007,,Iraq
Estonia,2007,,Iraq
France,2007,,Iraq
Germany (FRG),2007,,Iraq
Greece,2007,,Iraq
Hungary,2007,9,Iraq
Iran,2007,,Iraq
Italy,2007,,Iraq
Jordan,2007,13,Iraq
Pakistan,2007,,Iraq
Poland,2007,23,Iraq
Russia,2007,27,Iraq
Serbia,2007,,Iraq
South Africa,2007,5,Iraq
South Korea,2007,,Iraq
Soviet Union,2007,,Iraq
Spain,2007,,Iraq
Switzerland,2007,,Iraq
Turkey,2007,,Iraq
UAE,2007,,Iraq
Ukraine,2007,44,Iraq
United Kingdom,2007,5,Iraq
United States,2007,150,Iraq
Unknown supplier(s),2007,,Iraq
Yugoslavia,2007,,Iraq
Australia,2008,,Iraq
Belarus,2008,,Iraq
Brazil,2008,,Iraq
Bulgaria,2008,,Iraq
Canada,2008,0,Iraq
China,2008,,Iraq
Czech Republic,2008,,Iraq
Egypt,2008,,Iraq
Estonia,2008,,Iraq
France,2008,,Iraq
Germany (FRG),2008,,Iraq
Greece,2008,,Iraq
Hungary,2008,,Iraq
Iran,2008,,Iraq
Italy,2008,,Iraq
Jordan,2008,,Iraq
Pakistan,2008,,Iraq
Poland,2008,,Iraq
Russia,2008,95,Iraq
Serbia,2008,,Iraq
South Africa,2008,,Iraq
South Korea,2008,,Iraq
Soviet Union,2008,,Iraq
Spain,2008,,Iraq
Switzerland,2008,,Iraq
Turkey,2008,,Iraq
UAE,2008,,Iraq
Ukraine,2008,2,Iraq
United Kingdom,2008,,Iraq
United States,2008,281,Iraq
Unknown supplier(s),2008,,Iraq
Yugoslavia,2008,,Iraq
Australia,2009,,Iraq
Belarus,2009,,Iraq
Brazil,2009,,Iraq
Bulgaria,2009,,Iraq
Canada,2009,2,Iraq
China,2009,,Iraq
Czech Republic,2009,,Iraq
Egypt,2009,,Iraq
Estonia,2009,,Iraq
France,2009,,Iraq
Germany (FRG),2009,,Iraq
Greece,2009,,Iraq
Hungary,2009,,Iraq
Iran,2009,,Iraq
Italy,2009,70,Iraq
Jordan,2009,,Iraq
Pakistan,2009,,Iraq
Poland,2009,,Iraq
Russia,2009,,Iraq
Serbia,2009,,Iraq
South Africa,2009,,Iraq
South Korea,2009,,Iraq
Soviet Union,2009,,Iraq
Spain,2009,,Iraq
Switzerland,2009,,Iraq
Turkey,2009,,Iraq
UAE,2009,,Iraq
Ukraine,2009,15,Iraq
United Kingdom,2009,,Iraq
United States,2009,311,Iraq
Unknown supplier(s),2009,,Iraq
Yugoslavia,2009,,Iraq
Australia,2010,,Iraq
Belarus,2010,,Iraq
Brazil,2010,,Iraq
Bulgaria,2010,,Iraq
Canada,2010,7,Iraq
China,2010,,Iraq
Czech Republic,2010,,Iraq
Egypt,2010,,Iraq
Estonia,2010,,Iraq
France,2010,2,Iraq
Germany (FRG),2010,,Iraq
Greece,2010,,Iraq
Hungary,2010,,Iraq
Iran,2010,,Iraq
Italy,2010,,Iraq
Jordan,2010,,Iraq
Pakistan,2010,,Iraq
Poland,2010,,Iraq
Russia,2010,68,Iraq
Serbia,2010,1,Iraq
South Africa,2010,0,Iraq
South Korea,2010,,Iraq
Soviet Union,2010,,Iraq
Spain,2010,,Iraq
Switzerland,2010,,Iraq
Turkey,2010,,Iraq
UAE,2010,,Iraq
Ukraine,2010,13,Iraq
United Kingdom,2010,,Iraq
United States,2010,343,Iraq
Unknown supplier(s),2010,,Iraq
Yugoslavia,2010,,Iraq
Australia,2011,,Iraq
Belarus,2011,,Iraq
Brazil,2011,,Iraq
Bulgaria,2011,,Iraq
Canada,2011,,Iraq
China,2011,,Iraq
Czech Republic,2011,,Iraq
Egypt,2011,,Iraq
Estonia,2011,,Iraq
France,2011,,Iraq
Germany (FRG),2011,36,Iraq
Greece,2011,,Iraq
Hungary,2011,,Iraq
Iran,2011,,Iraq
Italy,2011,,Iraq
Jordan,2011,,Iraq
Pakistan,2011,,Iraq
Poland,2011,,Iraq
Russia,2011,81,Iraq
Serbia,2011,4,Iraq
South Africa,2011,4,Iraq
South Korea,2011,,Iraq
Soviet Union,2011,,Iraq
Spain,2011,,Iraq
