,Exporting Country,Year,Exports in Millions,Importing Country
134,East Germany (GDR),1998,,iran
135,France,1998,,iran
136,Netherlands,1998,,iran
137,North Korea,1998,2.0,iran
138,Pakistan,1998,,iran
139,Poland,1998,,iran
140,Russia,1998,256.0,iran
141,Soviet Union,1998,,iran
142,Ukraine,1998,52.0,iran
143,Belarus,1999,,iran
144,Brazil,1999,,iran
145,Canada,1999,,iran
146,China,1999,64.0,iran
147,East Germany (GDR),1999,,iran
148,France,1999,,iran
149,Netherlands,1999,,iran
150,North Korea,1999,,iran
151,Pakistan,1999,,iran
152,Poland,1999,,iran
153,Russia,1999,258.0,iran
154,Soviet Union,1999,,iran
155,Ukraine,1999,,iran
156,Belarus,2000,8.0,iran
157,Brazil,2000,,iran
158,Canada,2000,,iran
159,China,2000,69.0,iran
160,East Germany (GDR),2000,,iran
161,France,2000,,iran
162,Netherlands,2000,,iran
163,North Korea,2000,,iran
164,Pakistan,2000,,iran
165,Poland,2000,,iran
166,Russia,2000,341.0,iran
167,Soviet Union,2000,,iran
168,Ukraine,2000,,iran
169,Belarus,2001,15.0,iran
170,Brazil,2001,,iran
171,Canada,2001,,iran
172,China,2001,80.0,iran
173,East Germany (GDR),2001,,iran
174,France,2001,,iran
175,Netherlands,2001,,iran
176,North Korea,2001,,iran
177,Pakistan,2001,,iran
178,Poland,2001,,iran
179,Russia,2001,298.0,iran
180,Soviet Union,2001,,iran
181,Ukraine,2001,132.0,iran
182,Belarus,2002,16.0,iran
183,Brazil,2002,,iran
184,Canada,2002,,iran
185,China,2002,81.0,iran
186,East Germany (GDR),2002,,iran
187,France,2002,,iran
188,Netherlands,2002,,iran
189,North Korea,2002,116.0,iran
190,Pakistan,2002,0.0,iran
191,Poland,2002,,iran
192,Russia,2002,92.0,iran
193,Soviet Union,2002,,iran
194,Ukraine,2002,130.0,iran
195,Belarus,2003,,iran
196,Brazil,2003,,iran
197,Canada,2003,,iran
198,China,2003,84.0,iran
199,East Germany (GDR),2003,,iran
200,France,2003,,iran
201,Netherlands,2003,,iran
202,North Korea,2003,114.0,iran
203,Pakistan,2003,,iran
204,Poland,2003,,iran
205,Russia,2003,85.0,iran
206,Soviet Union,2003,,iran
207,Ukraine,2003,,iran
208,Belarus,2004,,iran
209,Brazil,2004,,iran
210,Canada,2004,,iran
211,China,2004,80.0,iran
212,East Germany (GDR),2004,,iran
213,France,2004,,iran
214,Netherlands,2004,,iran
215,North Korea,2004,27.0,iran
216,Pakistan,2004,,iran
217,Poland,2004,,iran
218,Russia,2004,15.0,iran
219,Soviet Union,2004,,iran
220,Ukraine,2004,,iran
221,Belarus,2005,,iran
222,Brazil,2005,,iran
223,Canada,2005,,iran
224,China,2005,43.0,iran
225,East Germany (GDR),2005,,iran
226,France,2005,,iran
227,Netherlands,2005,,iran
228,North Korea,2005,,iran
229,Pakistan,2005,,iran
230,Poland,2005,,iran
231,Russia,2005,15.0,iran
232,Soviet Union,2005,,iran
233,Ukraine,2005,,iran
234,Belarus,2006,,iran
235,Brazil,2006,,iran
236,Canada,2006,,iran
237,China,2006,54.0,iran
238,East Germany (GDR),2006,,iran
239,France,2006,,iran
240,Netherlands,2006,,iran
241,North Korea,2006,,iran
242,Pakistan,2006,,iran
243,Poland,2006,,iran
244,Russia,2006,368.0,iran
245,Soviet Union,2006,,iran
246,Ukraine,2006,,iran
247,Belarus,2007,,iran
248,Brazil,2007,,iran
249,Canada,2007,,iran
250,China,2007,47.0,iran
251,East Germany (GDR),2007,,iran
252,France,2007,,iran
253,Netherlands,2007,,iran
254,North Korea,2007,,iran
255,Pakistan,2007,,iran
256,Poland,2007,,iran
257,Russia,2007,283.0,iran
258,Soviet Union,2007,,iran
259,Ukraine,2007,,iran
260,Belarus,2008,,iran
261,Brazil,2008,,iran
262,Canada,2008,,iran
263,China,2008,47.0,iran
264,East Germany (GDR),2008,,iran
265,France,2008,,iran
266,Netherlands,2008,,iran
267,North Korea,2008,,iran
268,Pakistan,2008,,iran
269,Poland,2008,,iran
270,Russia,2008,15.0,iran
271,Soviet Union,2008,,iran
272,Ukraine,2008,,iran
273,Belarus,2009,,iran
274,Brazil,2009,,iran
275,Canada,2009,,iran
276,China,2009,47.0,iran
277,East Germany (GDR),2009,,iran
278,France,2009,,iran
279,Netherlands,2009,,iran
280,North Korea,2009,,iran
281,Pakistan,2009,,iran
282,Poland,2009,,iran
283,Russia,2009,15.0,iran
284,Soviet Union,2009,,iran
285,Ukraine,2009,,iran
286,Belarus,2010,,iran
287,Brazil,2010,,iran
288,Canada,2010,,iran
289,China,2010,62.0,iran
290,East Germany (GDR),2010,,iran
291,France,2010,,iran
292,Netherlands,2010,,iran
293,North Korea,2010,,iran
294,Pakistan,2010,,iran
295,Poland,2010,,iran
296,Russia,2010,41.0,iran
297,Soviet Union,2010,,iran
298,Ukraine,2010,,iran
299,Belarus,2011,15.0,iran
300,Brazil,2011,,iran
301,Canada,2011,,iran
302,China,2011,52.0,iran
303,East Germany (GDR),2011,,iran
304,France,2011,,iran
305,Netherlands,2011,,iran
306,North Korea,2011,,iran
307,Pakistan,2011,,iran
308,Poland,2011,,iran
309,Russia,2011,33.0,iran
310,Soviet Union,2011,,iran
311,Ukraine,2011,,iran
312,Belarus,2012,,iran
313,Brazil,2012,,iran
314,Canada,2012,,iran
315,China,2012,31.0,iran
316,East Germany (GDR),2012,,iran
317,France,2012,,iran
318,Netherlands,2012,,iran
319,North Korea,2012,,iran
320,Pakistan,2012,,iran
321,Poland,2012,,iran
322,Russia,2012,15.0,iran
323,Soviet Union,2012,,iran
324,Ukraine,2012,,iran
325,Belarus,2013,,iran
326,Brazil,2013,,iran
327,Canada,2013,,iran
328,China,2013,9.0,iran
329,East Germany (GDR),2013,,iran
330,France,2013,,iran
331,Netherlands,2013,,iran
332,North Korea,2013,,iran
333,Pakistan,2013,,iran
334,Poland,2013,,iran
335,Russia,2013,22.0,iran
336,Soviet Union,2013,,iran
337,Ukraine,2013,,iran
338,Belarus,2014,,iran
339,Brazil,2014,,iran
340,Canada,2014,,iran
341,China,2014,9.0,iran
342,East Germany (GDR),2014,,iran
343,France,2014,,iran
344,Netherlands,2014,,iran
345,North Korea,2014,,iran
346,Pakistan,2014,,iran
347,Poland,2014,,iran
348,Russia,2014,4.0,iran
349,Soviet Union,2014,,iran
350,Ukraine,2014,,iran
351,Belarus,2015,,iran
352,Brazil,2015,,iran
353,Canada,2015,,iran
354,China,2015,9.0,iran
355,East Germany (GDR),2015,,iran
356,France,2015,,iran
357,Netherlands,2015,,iran
358,North Korea,2015,,iran
359,Pakistan,2015,,iran
360,Poland,2015,,iran
361,Russia,2015,4.0,iran
362,Soviet Union,2015,,iran
363,Ukraine,2015,,iran
364,Belarus,2016,,iran
365,Brazil,2016,,iran
366,Canada,2016,,iran
367,China,2016,,iran
368,East Germany (GDR),2016,,iran
369,France,2016,,iran
370,Netherlands,2016,,iran
371,North Korea,2016,,iran
372,Pakistan,2016,,iran
373,Poland,2016,,iran
374,Russia,2016,374.0,iran
375,Soviet Union,2016,,iran
376,Ukraine,2016,,iran
